timestamp,left,right,average
0.0,208,174,191.0
0.1,208,165,186.5
0.2,207,159,183.0
0.3,206,160,183.0
0.4,208,160,184.0
0.5,210,160,185.0
0.6,208,161,184.5
0.7,209,159,184.0
0.8,208,161,184.5
0.9,210,162,186.0
1.0,208,161,184.5
1.1,208,158,183.0
1.2,207,159,183.0
1.3,207,161,184.0
1.4,208,161,184.5
1.5,208,162,185.0
1.6,208,162,185.0
1.7,209,163,186.0
1.8,208,162,185.0
1.9,210,162,186.0
2.0,209,162,185.5
2.1,209,163,186.0
2.2,208,162,185.0
2.3,210,164,187.0
2.4,211,162,186.5
2.5,212,165,188.5
2.6,213,166,189.5
2.7,213,165,189.0
2.8,212,166,189.0
2.9,212,165,188.5
3.0,212,165,188.5
3.1,212,165,188.5
3.2,213,166,189.5
3.3,213,167,190.0
3.4,214,166,190.0
3.5,214,169,191.5
3.6,214,167,190.5
3.7,213,167,190.0
3.8,212,165,188.5
3.9,212,166,189.0
4.0,213,168,190.5
4.1,214,169,191.5
4.2,214,167,190.5
4.3,214,168,191.0
4.4,215,169,192.0
4.5,216,172,194.0
4.6,217,171,194.0
4.7,217,169,193.0
4.8,216,169,192.5
4.9,218,169,193.5
